id,admin_graphql_api_id,fulfillable_quantity,fulfillment_service,gift_card,grams,name,price,price_set__shop_money__amount,price_set__shop_money__currency_code,price_set__presentment_money__amount,price_set__presentment_money__currency_code,product_exists,product_id,quantity,requires_shipping,sku,taxable,title,total_discount,total_discount_set__shop_money__amount,total_discount_set__shop_money__currency_code,total_discount_set__presentment_money__amount,total_discount_set__presentment_money__currency_code,variant_id,variant_inventory_management,variant_title,vendor,_dlt_root_id,_dlt_parent_id,_dlt_list_idx,_dlt_id,order_id,order_admin_api_id,app_id,buyer_accepts_marketing,confirmation_number,confirmed,order_created_at,order_currency,current_subtotal_price,current_total_discounts,current_total_price,current_total_tax,estimated_taxes,financial_status,order_name,order_number,order_processed_at,source_name,subtotal_price,order_tags,tax_exempt,taxes_included,is_test_order,total_discounts,total_line_items_price,total_price,shipping_cost,total_tax,customer_id,customer__accepts_marketing,email_marketing_status,billing_country,billing_province,shipping_country,order_confirmed,is_test_order_1
15344503062848,gid://shopify/LineItem/15344503062848,1,manual,false,0,VANS | SH-8 HI - 10 / black,0.10,0.10,USD,0.10,USD,true,9599857656128,1,true,VN-07-black-10,true,VANS | SH-8 HI,0.00,0.00,USD,0.00,USD,49721576194368,shopify,10 / black,VANS,PNSV5QsV+mefog,PNSV5QsV+mefog,0,kuD+4NfoDCikrg,6134119825728,gid://shopify/Order/6134119825728,1608003,false,E8J8UR7RF,true,2024-09-23 12:20:13-04,USD,0.10,0.00,0.10,0.00,false,pending,#1001,1,2024-09-23 12:20:13-04,1608003,0.10,egnition-sample-data,false,false,false,0.00,0.10,0.10,0.00,0.00,8651819516224,false,not_subscribed,Australia,,Australia,true,false
15344503521600,gid://shopify/LineItem/15344503521600,1,manual,false,0,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID - 5 / black,0.10,0.10,USD,0.10,USD,true,9599858213184,1,true,C-03-black-5,true,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,0.00,0.00,USD,0.00,USD,49721579241792,shopify,5 / black,CONVERSE,D9ysGDFzAt9+AA,D9ysGDFzAt9+AA,0,R30dX9c6xCRG0g,6134120087872,gid://shopify/Order/6134120087872,1608003,false,HEIE156GK,true,2024-09-23 12:20:19-04,USD,0.10,0.00,0.10,0.00,false,paid,#1002,2,2024-09-23 12:20:19-04,1608003,0.10,egnition-sample-data,false,false,false,0.00,0.10,0.10,0.00,0.00,8651819581760,false,not_subscribed,Australia,,Australia,true,false
15344503685440,gid://shopify/LineItem/15344503685440,1,manual,false,0,CONVERSE | CHUCK TAYLOR ALL STAR LO - 11 / white,0.10,0.10,USD,0.10,USD,true,9599858082112,1,true,C-01-white-11,true,CONVERSE | CHUCK TAYLOR ALL STAR LO,0.00,0.00,USD,0.00,USD,49721578815808,shopify,11 / white,CONVERSE,xmZ4TxwBCjjppg,xmZ4TxwBCjjppg,0,xgt3Uh3NgDsZVA,6134120218944,gid://shopify/Order/6134120218944,1608003,false,X8W5Z6PLQ,true,2024-09-23 12:20:25-04,USD,0.30,0.00,0.30,0.00,false,pending,#1003,3,2024-09-23 12:20:25-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344503718208,gid://shopify/LineItem/15344503718208,1,manual,false,0,VANS | SH-8 HI - 6 / black,0.10,0.10,USD,0.10,USD,true,9599857656128,1,true,VN-07-black-6,true,VANS | SH-8 HI,0.00,0.00,USD,0.00,USD,49721576063296,shopify,6 / black,VANS,xmZ4TxwBCjjppg,xmZ4TxwBCjjppg,1,Ht1vxRxQOWYLqQ,6134120218944,gid://shopify/Order/6134120218944,1608003,false,X8W5Z6PLQ,true,2024-09-23 12:20:25-04,USD,0.30,0.00,0.30,0.00,false,pending,#1003,3,2024-09-23 12:20:25-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344503750976,gid://shopify/LineItem/15344503750976,1,manual,false,0,SUPRA | MENS VAIDER - 11 / gray,0.10,0.10,USD,0.10,USD,true,9599857525056,1,true,su-01-gray-11,true,SUPRA | MENS VAIDER,0.00,0.00,USD,0.00,USD,49721575506240,shopify,11 / gray,SUPRA,xmZ4TxwBCjjppg,xmZ4TxwBCjjppg,2,DB84U1al74RrIw,6134120218944,gid://shopify/Order/6134120218944,1608003,false,X8W5Z6PLQ,true,2024-09-23 12:20:25-04,USD,0.30,0.00,0.30,0.00,false,pending,#1003,3,2024-09-23 12:20:25-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344503816512,gid://shopify/LineItem/15344503816512,1,manual,false,0,VANS | SK8-HI DECON (CUTOUT)| LEAVES/WHITE - 5 / white,0.10,0.10,USD,0.10,USD,true,9599857197376,1,true,"VN-05
-white-5",true,VANS | SK8-HI DECON (CUTOUT)| LEAVES/WHITE,0.00,0.00,USD,0.00,USD,49721572983104,shopify,5 / white,VANS,JkOVZeiAHqi3Rw,JkOVZeiAHqi3Rw,0,g37RqgVwPkxsTQ,6134120317248,gid://shopify/Order/6134120317248,1608003,false,Y8IGRVCAN,true,2024-09-23 12:20:31-04,USD,0.30,0.00,0.30,0.00,false,paid,#1004,4,2024-09-23 12:20:31-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344503849280,gid://shopify/LineItem/15344503849280,1,manual,false,0,NIKE | TODDLER ROSHE ONE - 7 / black,0.10,0.10,USD,0.10,USD,true,9599858278720,1,true,NK-02-black-7,true,NIKE | TODDLER ROSHE ONE,0.00,0.00,USD,0.00,USD,49721579471168,shopify,7 / black,NIKE,JkOVZeiAHqi3Rw,JkOVZeiAHqi3Rw,1,5zz5jrWyRLlQHg,6134120317248,gid://shopify/Order/6134120317248,1608003,false,Y8IGRVCAN,true,2024-09-23 12:20:31-04,USD,0.30,0.00,0.30,0.00,false,paid,#1004,4,2024-09-23 12:20:31-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344503882048,gid://shopify/LineItem/15344503882048,1,manual,false,0,CONVERSE | CHUCK TAYLOR ALL STAR LO - 9 / white,0.10,0.10,USD,0.10,USD,true,9599858082112,1,true,C-01-white-9,true,CONVERSE | CHUCK TAYLOR ALL STAR LO,0.00,0.00,USD,0.00,USD,49721578750272,shopify,9 / white,CONVERSE,JkOVZeiAHqi3Rw,JkOVZeiAHqi3Rw,2,jE+Qjf1J8xjizg,6134120317248,gid://shopify/Order/6134120317248,1608003,false,Y8IGRVCAN,true,2024-09-23 12:20:31-04,USD,0.30,0.00,0.30,0.00,false,paid,#1004,4,2024-09-23 12:20:31-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819450688,false,not_subscribed,Dominican Republic,,Dominican Republic,true,false
15344505094464,gid://shopify/LineItem/15344505094464,1,manual,false,0,CONVERSE | CHUCK TAYLOR ALL STAR LO - 13 / white,0.10,0.10,USD,0.10,USD,true,9599858082112,1,true,C-01-white-13,true,CONVERSE | CHUCK TAYLOR ALL STAR LO,0.00,0.00,USD,0.00,USD,49721578881344,shopify,13 / white,CONVERSE,YsYW2Nbqlb/uzw,YsYW2Nbqlb/uzw,0,7/5HdvsKDLnwnw,6134121103680,gid://shopify/Order/6134121103680,1608003,false,18T9CN0HL,true,2024-09-23 12:21:17-04,USD,0.30,0.00,0.30,0.00,false,refunded,#1005,5,2024-09-23 12:21:17-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819680064,false,not_subscribed,United Kingdom,England,United Kingdom,true,false
15344505127232,gid://shopify/LineItem/15344505127232,1,manual,false,0,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK - 5 / white,0.10,0.10,USD,0.10,USD,true,9599857131840,1,true,VN-03-white-5,true,VANS | AUTHENTIC (BUTTERFLY) TRUE | WHITE / BLACK,0.00,0.00,USD,0.00,USD,49721572655424,shopify,5 / white,VANS,YsYW2Nbqlb/uzw,YsYW2Nbqlb/uzw,1,0gIUKd+8ZZsG2w,6134121103680,gid://shopify/Order/6134121103680,1608003,false,18T9CN0HL,true,2024-09-23 12:21:17-04,USD,0.30,0.00,0.30,0.00,false,refunded,#1005,5,2024-09-23 12:21:17-04,1608003,0.30,egnition-sample-data,false,false,false,0.00,0.30,0.30,0.00,0.00,8651819680064,false,not_subscribed,United Kingdom,England,United Kingdom,true,false
